Au (Gold) - Palik

wavelength (microns), Re(index)
0.664929, 0.15855
0.664577, 0.159056
0.664227, 0.159564
0.663876, 0.160072
0.663526, 0.160582
0.663177, 0.161093
0.662827, 0.161606
0.662479, 0.162119
0.66213, 0.162634
0.661782, 0.16315
0.661434, 0.163667
0.661087, 0.164185
0.660739, 0.164705
0.660393, 0.165225
0.660046, 0.165747
0.6597, 0.166269
0.659355, 0.166793
0.65901, 0.167318
0.658665, 0.167843
0.65832, 0.16837
0.657976, 0.168898
0.657632, 0.169426
0.657289, 0.169956
0.656946, 0.170486
0.656603, 0.171018
0.65626, 0.17155
0.655918, 0.172083
0.655577, 0.172617
0.655235, 0.173152
0.654894, 0.173688
0.654554, 0.174224
0.654214, 0.174762
0.653874, 0.1753
0.653534, 0.175838
0.653195, 0.176378
0.652856, 0.176918
0.6526, 0.177327
0.652518, 0.177459
0.652179, 0.178001
0.651842, 0.178544
0.651504, 0.179087
0.651167, 0.17963
0.65083, 0.180175
0.650494, 0.18072
0.650158, 0.181266
0.649822, 0.181812
0.649487, 0.182359
0.649152, 0.182907
0.648817, 0.183455
0.648483, 0.184004
0.648149, 0.184553
0.647815, 0.185103
0.647482, 0.185654
0.647149, 0.186205
0.646816, 0.186756
0.646484, 0.187308
0.646152, 0.187861
0.645821, 0.188414
0.645489, 0.188968
0.645159, 0.189522
0.644828, 0.190076
0.644498, 0.190631
0.644168, 0.191187
0.643838, 0.191743
0.643509, 0.192299
0.64318, 0.192856
0.642852, 0.193413
0.642524, 0.193971
0.642196, 0.194529
0.641868, 0.195088
0.641541, 0.195647
0.641214, 0.196206
0.640888, 0.196766
0.640561, 0.197326
0.640236, 0.197886
0.63991, 0.198447
0.639585, 0.199008
0.63926, 0.19957
0.638935, 0.200132
0.638611, 0.200694
0.638287, 0.201257
0.637964, 0.20182
0.63764, 0.202383
0.637318, 0.202947
0.636995, 0.203511
0.636673, 0.204075
0.636351, 0.20464
0.636029, 0.205205
0.635708, 0.205771
0.635387, 0.206336
0.635066, 0.206902
0.634746, 0.207468
0.634426, 0.208035
0.634106, 0.208602
0.633787, 0.209169
0.633468, 0.209737
0.633149, 0.210304
0.632831, 0.210872
0.632513, 0.211441
0.632195, 0.212009
0.631878, 0.212578
0.631561, 0.213148
0.631244, 0.213717
0.630928, 0.214287
0.630611, 0.214857
0.630296, 0.215427
0.62998, 0.215998
0.629665, 0.216569
0.62935, 0.21714
0.629035, 0.217712
0.628721, 0.218284
0.628407, 0.218856
0.628094, 0.219428
0.62778, 0.220001
0.627467, 0.220573
0.627155, 0.221147
0.626842, 0.22172
0.62653, 0.222294
0.626218, 0.222868
0.625907, 0.223442
0.625596, 0.224017
0.625285, 0.224592
0.624975, 0.225167
0.624664, 0.225742
0.624354, 0.226318
0.624045, 0.226894
0.623736, 0.22747
0.623427, 0.228047
0.623118, 0.228624
0.62281, 0.229201
0.622502, 0.229779
0.622194, 0.230357
0.621886, 0.230935
0.621579, 0.231513
0.621272, 0.232092
0.620966, 0.232671
0.62066, 0.23325
0.620354, 0.23383
0.620048, 0.23441
0.6199, 0.234691
0.619743, 0.23499
0.619438, 0.235571
0.619133, 0.236152
0.618828, 0.236733
0.618524, 0.237315
0.618221, 0.237897
0.617917, 0.238479
0.617614, 0.239062
0.617311, 0.239645
0.617008, 0.240229
0.616706, 0.240812
0.616404, 0.241396
0.616102, 0.241981
0.615801, 0.242566
0.615499, 0.243151
0.615199, 0.243737
0.614898, 0.244323
0.614598, 0.244909
0.614298, 0.245496
0.613998, 0.246083
0.613699, 0.24667
0.613399, 0.247258
0.613101, 0.247847
0.612802, 0.248436
0.612504, 0.249025
0.612206, 0.249614
0.611908, 0.250204
0.611611, 0.250795
0.611314, 0.251386
0.611017, 0.251977
0.61072, 0.252569
0.610424, 0.253161
0.610128, 0.253754
0.609833, 0.254347
0.609537, 0.254941
0.609242, 0.255535
0.608947, 0.25613
0.608653, 0.256725
0.608359, 0.257321
0.608065, 0.257917
0.607771, 0.258514
0.607478, 0.259111
0.607185, 0.259709
0.606892, 0.260307
0.606599, 0.260906
0.606307, 0.261505
0.606015, 0.262105
0.605724, 0.262705
0.605432, 0.263306
0.605141, 0.263908
0.60485, 0.26451
0.60456, 0.265113
0.604269, 0.265716
0.603979, 0.26632
0.60369, 0.266925
0.6034, 0.26753
0.603111, 0.268136
0.602822, 0.268742
0.602534, 0.269349
0.602245, 0.269957
0.601957, 0.270565
0.601669, 0.271174
0.601382, 0.271784
0.601095, 0.272394
0.600808, 0.273005
0.600521, 0.273617
0.600235, 0.274229
0.599948, 0.274842
0.599663, 0.275456
0.599377, 0.276071
0.599092, 0.276686
0.598807, 0.277302
0.598522, 0.277918
0.598237, 0.278536
