Au (Gold) - Palik

wavelength (microns), Im(index)
0.664929, 3.5736
0.664577, 3.56996
0.664227, 3.56633
0.663876, 3.56271
0.663526, 3.55909
0.663177, 3.55548
0.662827, 3.55187
0.662479, 3.54828
0.66213, 3.54469
0.661782, 3.54111
0.661434, 3.53753
0.661087, 3.53396
0.660739, 3.5304
0.660393, 3.52685
0.660046, 3.5233
0.6597, 3.51976
0.659355, 3.51622
0.65901, 3.5127
0.658665, 3.50917
0.65832, 3.50566
0.657976, 3.50215
0.657632, 3.49865
0.657289, 3.49516
0.656946, 3.49167
0.656603, 3.48819
0.65626, 3.48471
0.655918, 3.48124
0.655577, 3.47778
0.655235, 3.47433
0.654894, 3.47088
0.654554, 3.46744
0.654214, 3.464
0.653874, 3.46057
0.653534, 3.45715
0.653195, 3.45373
0.652856, 3.45032
0.6526, 3.44774
0.652518, 3.44691
0.652179, 3.44351
0.651842, 3.44012
0.651504, 3.43673
0.651167, 3.43335
0.65083, 3.42998
0.650494, 3.42661
0.650158, 3.42325
0.649822, 3.41989
0.649487, 3.41654
0.649152, 3.4132
0.648817, 3.40986
0.648483, 3.40653
0.648149, 3.4032
0.647815, 3.39988
0.647482, 3.39656
0.647149, 3.39325
0.646816, 3.38995
0.646484, 3.38665
0.646152, 3.38336
0.645821, 3.38007
0.645489, 3.37679
0.645159, 3.37352
0.644828, 3.37025
0.644498, 3.36698
0.644168, 3.36372
0.643838, 3.36047
0.643509, 3.35722
0.64318, 3.35398
0.642852, 3.35074
0.642524, 3.34751
0.642196, 3.34428
0.641868, 3.34106
0.641541, 3.33785
0.641214, 3.33464
0.640888, 3.33143
0.640561, 3.32823
0.640236, 3.32504
0.63991, 3.32185
0.639585, 3.31867
0.63926, 3.31549
0.638935, 3.31231
0.638611, 3.30914
0.638287, 3.30598
0.637964, 3.30282
0.63764, 3.29967
0.637318, 3.29652
0.636995, 3.29338
0.636673, 3.29024
0.636351, 3.2871
0.636029, 3.28398
0.635708, 3.28085
0.635387, 3.27773
0.635066, 3.27462
0.634746, 3.27151
0.634426, 3.2684
0.634106, 3.2653
0.633787, 3.26221
0.633468, 3.25912
0.633149, 3.25603
0.632831, 3.25295
0.632513, 3.24988
0.632195, 3.2468
0.631878, 3.24374
0.631561, 3.24067
0.631244, 3.23762
0.630928, 3.23456
0.630611, 3.23151
0.630296, 3.22847
0.62998, 3.22543
0.629665, 3.22239
0.62935, 3.21936
0.629035, 3.21633
0.628721, 3.21331
